Year,Age,Sex,Mean,SD
1992,9,Female,30.1,5.81
1992,10,Female,34.2,6.87
1992,11,Female,39.1,7.75
1992,12,Female,44.3,8.12
1992,13,Female,47.8,7.8
1992,14,Female,50.5,7.53
1992,15,Female,52.2,7.73
1992,16,Female,53,7.34
1992,17,Female,52.9,7.26
1991,5,Male,19.3,2.76
1991,6,Male,21.5,3.36
1991,7,Male,24.1,3.98
1991,8,Male,27.1,4.97
1991,9,Male,30.5,6.01
1991,10,Male,34.1,7.04
1991,11,Male,38,8
1991,12,Male,43.9,9.45
1991,13,Male,49.3,9.89
1991,14,Male,54.5,9.94
1991,15,Male,59.2,10.5
1991,16,Male,61.2,10.11
1991,17,Male,62.2,9.73
1991,5,Female,18.9,2.66
1991,6,Female,21.2,3.3
1991,7,Female,23.6,3.88
1991,8,Female,26.6,4.65
1991,9,Female,30,5.69
1991,10,Female,33.9,6.69
1991,11,Female,39,7.76
1991,12,Female,44,8.02
1991,13,Female,47.5,7.66
1991,14,Female,50.2,7.4
1991,15,Female,52.1,7.71
1991,16,Female,52.9,7.4
1991,17,Female,52.8,7.23
1990,5,Male,19.3,2.69
1990,6,Male,21.5,3.37
1990,7,Male,24,3.95
1990,8,Male,27.2,4.98
1990,9,Male,30.3,5.89
1990,10,Male,33.9,6.94
1990,11,Male,38,8.02
1990,12,Male,43.5,9.35
1990,13,Male,49,9.7
1990,14,Male,54.2,9.96
1990,15,Male,59,10.34
1990,16,Male,60.7,9.75
1990,17,Male,62,9.43
1990,5,Female,19,2.64
1990,6,Female,21.1,3.26
1990,7,Female,23.6,3.81
1990,8,Female,26.6,4.63
1990,9,Female,29.9,5.71
1990,10,Female,34,6.87
1990,11,Female,38.9,7.51
1990,12,Female,43.9,7.89
1990,13,Female,47.5,7.47
1990,14,Female,50.2,7.32
1990,15,Female,52.1,7.72
1990,16,Female,52.6,7.23
1990,17,Female,52.8,7
1989,5,Male,19.3,2.61
1989,6,Male,21.5,3.34
1989,7,Male,24,3.93
1989,8,Male,27,4.82
1989,9,Male,30.3,5.82
1989,10,Male,33.7,6.73
1989,11,Male,37.9,7.87
1989,12,Male,43.4,9.12
1989,13,Male,48.7,9.65
1989,14,Male,54.1,9.76
1989,15,Male,58.7,10.06
1989,16,Male,60.6,9.5
1989,17,Male,62,9.35
1989,5,Female,18.9,2.59
1989,6,Female,21,3.22
1989,7,Female,23.6,3.82
1989,8,Female,26.4,4.51
1989,9,Female,29.8,5.59
1989,10,Female,33.9,6.72
1989,11,Female,38.7,7.64
1989,12,Female,43.8,7.79
1989,13,Female,47.4,7.52
1989,14,Female,50,7.09
1989,15,Female,51.9,7.38
1989,16,Female,52.5,6.97
1989,17,Female,52.6,7.13
1988,5,Male,19.2,2.57
1988,6,Male,21.4,3.29
1988,7,Male,23.9,3.81
1988,8,Male,26.9,4.74
1988,9,Male,30,5.58
1988,10,Male,33.5,6.67
1988,11,Male,37.4,7.82
1988,12,Male,42.9,9.06
1988,13,Male,48.3,9.51
1988,14,Male,53.6,9.49
1988,15,Male,58.5,9.94
1988,16,Male,60.6,9.5
1988,17,Male,61.8,9.23
1988,5,Female,18.9,2.57
1988,6,Female,20.9,3.18
1988,7,Female,23.3,3.69
1988,8,Female,26.3,4.45
1988,9,Female,29.6,5.39
1988,10,Female,33.6,6.57
1988,11,Female,38.5,7.45
1988,12,Female,43.6,7.78
1988,13,Female,47.3,7.39
1988,14,Female,49.9,7.12
1988,15,Female,52,7.3
1988,16,Female,52.7,7.25
1988,17,Female,52.7,6.97
1987,5,Male,19.2,2.56
1987,6,Male,21.3,3.17
1987,7,Male,23.9,3.72
1987,8,Male,26.8,4.66
1987,9,Male,29.9,5.54
1987,10,Male,33.4,6.63
1987,11,Male,37.2,7.61
1987,12,Male,42.6,8.73
1987,13,Male,48,9.39
1987,14,Male,53.4,9.3
