Year,Age,Sex,Weight,Count
1983,10,Male,22,3.9
1983,10,Male,23,8.8
1983,10,Male,24,17.8
1983,10,Male,25,29.6
1983,10,Male,26,46.2
1983,10,Male,27,64.5
1983,10,Male,28,78.5
1983,10,Male,29,85.2
1983,10,Male,30,93.9
1983,10,Male,31,82.9
1983,10,Male,32,80.2
1983,10,Male,33,67.7
1983,10,Male,34,55.1
1983,10,Male,35,47.1
1983,10,Male,36,39.5
1983,10,Male,37,32.4
1983,10,Male,38,25.3
1983,10,Male,39,23.2
1983,10,Male,40,17.2
1983,10,Male,41,15.3
1983,10,Male,42,13.5
1983,10,Male,43,9.5
1983,10,Male,44,9.3
1983,10,Male,45,8
1983,10,Male,46,7.3
1983,10,Male,47,5.7
1983,10,Male,48,4.8
1983,10,Male,49,4
1983,10,Male,50,3.6
1983,10,Male,51,2.6
1983,10,Male,52,3.2
1983,10,Male,53,1.7
1983,10,Male,54,1.8
1983,10,Male,55,1.2
1983,10,Male,56,1.2
1983,10,Male,57,1.4
1983,10,Male,58,0.3
1983,10,Male,59,1.1
1983,10,Male,60,0.6
1983,10,Male,61,0.5
1983,10,Male,62,0.5
1983,10,Male,63,0.4
1983,10,Male,64,0.5
1983,10,Male,65,0.1
1983,10,Male,66,0.2
1983,10,Male,67,0.3
1983,10,Male,68,0.1
1983,10,Male,69,0.1
1983,10,Male,70,0
1983,10,Male,71,0
1983,10,Male,72,0
1983,10,Male,73,0
1983,10,Male,74,0
1983,10,Male,75,0
1983,10,Male,76,0
1983,10,Male,77,0
1983,10,Male,78,0
1983,10,Male,79,0
1983,10,Male,80,0
1983,10,Male,81,0
1983,10,Male,82,0
1983,10,Male,83,0
1983,10,Male,84,0
1983,10,Male,85,0
1983,10,Male,86,0
1983,10,Male,87,0
1983,10,Male,88,0
1983,10,Male,89,0
1983,10,Male,90,0
1983,10,Male,91,0
1983,10,Male,92,0
1983,10,Male,93,0
1983,10,Male,94,0
1983,10,Male,95,0
1983,10,Male,96,0
1983,10,Male,97,0
1983,10,Male,98,0
1983,10,Male,99,0
1983,10,Male,100,0
1983,10,Male,101,0
1983,10,Male,102,0
1983,10,Male,103,0
1983,10,Male,104,0
1983,10,Male,105,0
1983,10,Male,106,0
1983,10,Male,107,0
1983,10,Male,108,0
1983,10,Male,109,0
1983,10,Male,110,0
1983,10,Male,111,0
1983,10,Male,112,0
1983,10,Male,113,0
1983,10,Male,114,0
1983,10,Male,115,0
1983,10,Male,116,0
1983,10,Male,117,0
1983,10,Male,118,0
1983,10,Male,119,0
1983,10,Male,120,0
1983,10,Male,121,0
1983,10,Male,122,0
1983,10,Male,123,0
1983,10,Male,124,0
1983,10,Male,125,0
1983,10,Male,11,0
1983,11,Female,12,0
1983,11,Female,13,0
1983,11,Female,14,0
1983,11,Female,15,0
1983,11,Female,16,0
1983,11,Female,17,0
1983,11,Female,18,0
1983,11,Female,19,0
1983,11,Female,20,0
1983,11,Female,21,0.3
1983,11,Female,22,0.7
1983,11,Female,23,1.7
1983,11,Female,24,3.7
1983,11,Female,25,7.3
1983,11,Female,26,9.6
1983,11,Female,27,16.3
