,Year,Age,Sex,Mean,SD,M3,M4
147,1988,13,Male,48.3,9.51,1.03805666220974,5.46724436187891
148,1988,13,Female,47.3,7.39,0.884702709708775,5.32501764500222
149,1988,14,Male,53.6,9.49,1.07584573991035,5.7071399528368
150,1988,14,Female,49.9,7.12,0.958945124194532,5.72223516994451
151,1988,15,Male,58.5,9.94,1.16966363448999,5.39840656520532
152,1988,15,Female,52,7.3,0.914949172069002,4.97939696733473
153,1988,16,Male,60.6,9.5,1.21979331928024,5.79553491772109
154,1988,16,Female,52.7,7.25,1.21057303634356,6.82517422650443
155,1988,17,Male,61.8,9.23,1.26522025979979,6.01647866103982
156,1988,17,Female,52.7,6.97,1.03331401332296,5.60668896896232
157,1989,5,Male,19.3,2.61,1.38786504986299,8.23404556710143
158,1989,5,Female,18.9,2.59,1.17523770476685,6.78222460623662
159,1989,6,Male,21.5,3.34,1.64055889485478,9.24182452680159
160,1989,6,Female,21,3.22,1.30448368747779,6.63350763110009
161,1989,7,Male,24,3.93,1.71960050700038,8.99849400061758
162,1989,7,Female,23.6,3.82,1.44056027173217,7.29063921750777
163,1989,8,Male,27,4.82,1.62777865312164,7.49508874486042
164,1989,8,Female,26.4,4.51,1.37646069187173,6.58632760890781
165,1989,9,Male,30.3,5.82,1.58789971127075,7.05750285756299
166,1989,9,Female,29.8,5.59,1.22014280920288,5.19522805350532
167,1989,10,Male,33.7,6.73,1.35911378714434,5.66462145617602
168,1989,10,Female,33.9,6.72,1.10556314222354,4.98389020862664
169,1989,11,Male,37.9,7.87,1.21936704421759,5.16166889190977
170,1989,11,Female,38.7,7.64,1.00332549374327,5.18123913811371
171,1989,12,Male,43.4,9.12,1.0960631130279,5.20445210680346
172,1989,12,Female,43.8,7.79,0.876968920742377,5.00782671721078
173,1989,13,Male,48.7,9.65,0.989826688031972,5.02918243092867
174,1989,13,Female,47.4,7.52,0.909126329672239,5.22409247928524
175,1989,14,Male,54.1,9.76,1.1510074490667,6.09321490111611
176,1989,14,Female,50,7.09,0.972352838953692,5.61903425715701
177,1989,15,Male,58.7,10.06,1.17949869550319,5.63304283691085
178,1989,15,Female,51.9,7.38,1.12533986035395,6.23515467363577
179,1989,16,Male,60.6,9.5,1.27014919592068,6.11266078863291
180,1989,16,Female,52.5,6.97,1.05190739740256,5.65814429717736
181,1989,17,Male,62,9.35,1.35333395774738,6.59807147632431
182,1989,17,Female,52.6,7.13,1.32496208054913,7.74112243214106
183,1990,5,Male,19.3,2.69,1.39491056338038,7.7015361077618
184,1990,5,Female,19,2.64,1.2593580034136,7.61991470635379
185,1990,6,Male,21.5,3.37,1.53808024221538,7.82442116117685
186,1990,6,Female,21.1,3.26,1.30045749954206,6.6254369746302
187,1990,7,Male,24,3.95,1.65449518494344,8.38125580281948
188,1990,7,Female,23.6,3.81,1.37236685169982,6.7830380530335
189,1990,8,Male,27.2,4.98,1.62305411333058,7.69471908547877
190,1990,8,Female,26.6,4.63,1.28701264558512,5.85719144927301
191,1990,9,Male,30.3,5.89,1.63431275415886,7.46564827804702
192,1990,9,Female,29.9,5.71,1.30079644166247,5.81069911676904
193,1990,10,Male,33.9,6.94,1.47006814355651,6.63976135637456
194,1990,10,Female,34,6.87,1.11597475388557,5.03800141978312
195,1990,11,Male,38,8.02,1.26843534317518,5.54484635249992
196,1990,11,Female,38.9,7.51,0.842407101514491,4.25044424528159
197,1990,12,Male,43.5,9.35,1.1404723712836,5.26919012092715
198,1990,12,Female,43.9,7.89,0.823682512535296,4.72214210398245
199,1990,13,Male,49,9.7,0.978627052230461,4.88621308968107
200,1990,13,Female,47.5,7.47,0.875130762236186,5.01948892595099
201,1990,14,Male,54.2,9.96,1.21086014180632,6.16970674241876
202,1990,14,Female,50.2,7.32,1.07949081146715,5.93935320221332
203,1990,15,Male,59,10.34,1.25165710937135,5.69815889437223
204,1990,15,Female,52.1,7.72,1.21355773112054,6.4384412375976
205,1990,16,Male,60.7,9.75,1.35224349606122,6.43091174530125
